external_compound_id,preferred_name,compound_family,strict_inclusion_class,source_ids,smiles_canonical,inchikey,auto_review_decision,auto_review_confidence,auto_mechanism_scope,auto_fks1_specificity,accepted_direct_evidence_rows,high_confidence_direct_rows,medium_high_confidence_direct_rows,fks1_specific_direct_rows,target_unchecked_direct_rows,whole_cell_label_direct_rows,unique_source_reference_count,evidence_summary,recommended_action,manual_override_decision,manual_note
EXT-FKS-0112,CHEMBL1254587,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254587,CCCCCCCCOc1ccc(NC(=O)[C@]2(O)C[C@@H](O)[C@@H](O)[C@H](O)C2)cc1,REOJVSKXQSLVIC-XCJLJZCSSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0113,CHEMBL1254665,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254665,CCCCCCCCOc1ccc(NC(=O)C(NC(=O)[C@]2(O)C[C@@H](O)[C@@H](O)[C@H](O)C2)C(C)O)cc1,VFKYWENFHUNGIR-AZNHSDBPSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0114,CHEMBL1254666,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254666,CCCCCCCCOc1ccc(NC(=O)C(CC(=O)O)NC(=O)[C@]2(O)C[C@@H](O)[C@@H](O)[C@H](O)C2)cc1,ABWVWFSSNXFYHC-UTYTUGOQSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0115,CHEMBL1254748,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254748,CCCCCCCCOc1ccc(NC(=O)C(CCCN)NC(=O)/C=C/c2ccc(O)c(O)c2)cc1,VXHOTIXTDQAMLQ-GZTJUZNOSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0116,CHEMBL1254749,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254749,CCCCCCCCOc1ccc(NC(=O)/C=C/c2ccc(O)c(O)c2)cc1,MRBWPWAYLSFVGL-OQLLNIDSSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0117,CHEMBL1254833,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254833,CCCCCCCCOc1ccc(NC(=O)C(NC(=O)/C=C/c2ccc(O)c(O)c2)C(C)O)cc1,IHIWXSUSYPDNEP-MHWRWJLKSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0118,CHEMBL1254834,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254834,CCCCCCCCOc1ccc(NC(=O)C(CC(=O)O)NC(=O)/C=C/c2ccc(O)c(O)c2)cc1,BUEVNTFVIWXERB-OQLLNIDSSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0119,CHEMBL1254920,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1254920,CCCCCCCCOc1ccc(NC(=O)C(NC(=O)/C=C/c2ccc(O)c(O)c2)C(C)OC(C)(C)C)cc1,SUMSRFHRSFADQZ-CPNJWEJPSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0120,CHEMBL1255007,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1255007,CCCCCCCCOc1ccc(NC(=O)C(CC(=O)OC(C)(C)C)NC(=O)/C=C/c2ccc(O)c(O)c2)cc1,YYKJRRLNAZNNNH-LDADJPATSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans 1,3 beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0222,CHEMBL1684735,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684735,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)c3ccccn3)CC2)cnn1-c1ccccc1,FQMWXJLWLYJZCP-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0223,CHEMBL1684736,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684736,CS(=O)(=O)N1CCN(c2cnn(-c3ccccc3)c(=O)c2OC2CCCC2)CC1,GKFXYFGFTRLRRI-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0224,CHEMBL1684738,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684738,O=c1c(C2CCCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,AGNVZANKXXDAQI-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0225,CHEMBL1684739,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684739,O=c1c(OC2CCCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,UXWIXISQOYNQFJ-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0226,CHEMBL1684740,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684740,O=c1c(OC2CCCC2)c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn1-c1ccccc1,ZSHWMAHJZIDZDV-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0227,CHEMBL1684741,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684741,CCOCCCNc1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,NKAHVNIWQOFVPE-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0228,CHEMBL1684742,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684742,CCCCCCCc1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,OCKYDJCTBIRFEU-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0229,CHEMBL1684743,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684743,CCCCCCCOc1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,VHCRXCFKPSHOPU-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0230,CHEMBL1684745,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684745,CCCCCCCSc1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,TVJCKLPNTDOZMX-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0231,CHEMBL1684746,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684746,CCCCCCC[S+]([O-])c1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,MXGOCUVMYFAMEX-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0232,CHEMBL1684747,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684747,CCCCCCCS(=O)(=O)c1c(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)cnn(-c2ccccc2)c1=O,GXDKXMMTTBUAIL-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0233,CHEMBL1684748,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684748,CC1CN(S(=O)(=O)Cc2ccccc2)CCN1c1cnn(-c2ccccc2)c(=O)c1OC1CCCCC1,JIQPKWRFTBEWJX-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0234,CHEMBL1684749,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684749,C[C@@H]1CN(c2cnn(-c3ccccc3)c(=O)c2OC2CCCCC2)CCN1S(=O)(=O)Cc1ccccc1,KEZNHCHVWILAOL-JOCHJYFZSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0235,CHEMBL1684750,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684750,C[C@H]1CN(c2cnn(-c3ccccc3)c(=O)c2OC2CCCCC2)CCN1S(=O)(=O)Cc1ccccc1,KEZNHCHVWILAOL-QFIPXVFZSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
EXT-FKS-0236,CHEMBL1684880,mixed_fks,direct_FKS_or_beta_1_3_glucan_synthase_inhibitor_evidence,ChEMBL:CHEMBL1684880,O=c1c(OC2CCCCC2)c(N2CC3CC2CN3S(=O)(=O)Cc2ccccc2)cnn1-c1ccccc1,HAVOJLUPXNKDIA-UHFFFAOYSA-N,auto_accept_direct_FKS_or_glucan_synthase,high,FKS_or_beta_1_3_glucan_synthase_inhibitor,FKS_or_beta_1_3_glucan_synthase_inhibitor,1,1,0,0,0,0,1,"1/1 direct evidence rows accepted by database-field review; example target='Beta-1,3-glucan synthase', method='Inhibition of Candida albicans BWP17 1,3-beta-D-glucan synthase'",can_enter_strict_external_FKS_or_glucan_synthase_candidate_set_after_optional_spot_check,,
