source_id,source_type,source_name,source_database,source_url,search_query,download_date,download_file,license_or_terms_note,inclusion_summary,exclusion_summary,curator_note
EXTSRC-000011,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-011; ibrexafungerp; molecule_search_SEED-011_ibrexafungerp.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-011_ibrexafungerp.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000012,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-012; SCY-078; molecule_search_SEED-012_SCY-078.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-012_SCY-078.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000013,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-013; echinocandin; molecule_search_SEED-013_echinocandin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-013_echinocandin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000014,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-014; echinocandin derivative; molecule_search_SEED-014_echinocandin_derivative.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-014_echinocandin_derivative.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000015,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-015; pneumocandin; molecule_search_SEED-015_pneumocandin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-015_pneumocandin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000016,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-016; pneumocandin derivative; molecule_search_SEED-016_pneumocandin_derivative.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-016_pneumocandin_derivative.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000017,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-017; enfumafungin; molecule_search_SEED-017_enfumafungin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-017_enfumafungin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000018,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-018; enfumafungin derivative; molecule_search_SEED-018_enfumafungin_derivative.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-018_enfumafungin_derivative.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000019,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-019; ibrexafungerp analog; molecule_search_SEED-019_ibrexafungerp_analog.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-019_ibrexafungerp_analog.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000020,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-020; aculeacin; molecule_search_SEED-020_aculeacin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-020_aculeacin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000021,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-021; mulundocandin; molecule_search_SEED-021_mulundocandin.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-021_mulundocandin.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000022,database_api_cache,ChEMBL cached molecule search,ChEMBL,,SEED-022; antifungal lipopeptide; molecule_search_SEED-022_antifungal_lipopeptide.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/molecule_search_SEED-022_antifungal_lipopeptide.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000023,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1058085_offset_0; activity_by_assay_CHEMBL1058085_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1058085_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000024,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1059912_offset_0; activity_by_assay_CHEMBL1059912_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1059912_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000025,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1059915_offset_0; activity_by_assay_CHEMBL1059915_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1059915_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000026,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1059918_offset_0; activity_by_assay_CHEMBL1059918_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1059918_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000027,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1211632_offset_0; activity_by_assay_CHEMBL1211632_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1211632_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000028,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1246413_offset_0; activity_by_assay_CHEMBL1246413_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1246413_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000029,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1246414_offset_0; activity_by_assay_CHEMBL1246414_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1246414_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000030,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1251396_offset_0; activity_by_assay_CHEMBL1251396_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1251396_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000031,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264035_offset_0; activity_by_assay_CHEMBL1264035_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264035_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000032,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264036_offset_0; activity_by_assay_CHEMBL1264036_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264036_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000033,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264037_offset_0; activity_by_assay_CHEMBL1264037_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264037_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000034,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264038_offset_0; activity_by_assay_CHEMBL1264038_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264038_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000035,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264041_offset_0; activity_by_assay_CHEMBL1264041_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264041_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000036,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264556_offset_0; activity_by_assay_CHEMBL1264556_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264556_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000037,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264558_offset_0; activity_by_assay_CHEMBL1264558_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264558_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000038,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264559_offset_0; activity_by_assay_CHEMBL1264559_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264559_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000039,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264561_offset_0; activity_by_assay_CHEMBL1264561_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264561_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000040,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264562_offset_0; activity_by_assay_CHEMBL1264562_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264562_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000041,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264563_offset_0; activity_by_assay_CHEMBL1264563_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264563_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000042,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264564_offset_0; activity_by_assay_CHEMBL1264564_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264564_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000043,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264565_offset_0; activity_by_assay_CHEMBL1264565_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264565_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000044,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264566_offset_0; activity_by_assay_CHEMBL1264566_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264566_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000045,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264567_offset_0; activity_by_assay_CHEMBL1264567_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264567_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000046,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264568_offset_0; activity_by_assay_CHEMBL1264568_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264568_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000047,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264569_offset_0; activity_by_assay_CHEMBL1264569_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264569_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000048,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264570_offset_0; activity_by_assay_CHEMBL1264570_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264570_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000049,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264571_offset_0; activity_by_assay_CHEMBL1264571_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264571_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000050,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264572_offset_0; activity_by_assay_CHEMBL1264572_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264572_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000051,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1264573_offset_0; activity_by_assay_CHEMBL1264573_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1264573_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000052,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280489_offset_0; activity_by_assay_CHEMBL1280489_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280489_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000053,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280490_offset_0; activity_by_assay_CHEMBL1280490_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280490_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000054,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280491_offset_0; activity_by_assay_CHEMBL1280491_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280491_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000055,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280492_offset_0; activity_by_assay_CHEMBL1280492_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280492_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000056,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280493_offset_0; activity_by_assay_CHEMBL1280493_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280493_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000057,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280494_offset_0; activity_by_assay_CHEMBL1280494_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280494_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
EXTSRC-000058,database_api_cache,ChEMBL cached activity search,ChEMBL,,CACHE; activity_by_assay_CHEMBL1280495_offset_0; activity_by_assay_CHEMBL1280495_offset_0.json,2026-06-11,data/external/fks_inhibitors/raw_downloads/auto_fetch_external_fks_v0_2/chembl/activity_by_assay_CHEMBL1280495_offset_0.json,Use database records according to source database terms; verify key rows before modeling.,Rebuilt from previously downloaded ChEMBL JSON cache.,,Candidate cache rebuild; verify primary ChEMBL/source-paper records before modeling.
