chemotype,compound_id,compound_name,serum_active,label_tier,usable_for_training,confidence,n_active_obs,n_inactive_obs,mixed,sources,caveat
papulacandin,PAPU-0018,Papulacandin B 12-OCH2CH2CH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0033,Papulacandin B 12-OCH2CH2CH2I derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0034,Papulacandin B 12-p-nitrobenzyl ether,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0035,Papulacandin B 12-OCH2COCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0021,Papulacandin B 12-OCH2COOH derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0036,Papulacandin B 12-OCH2COOCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0017,"Papulacandin B 10,12-OCH3 derivative",1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0040,"Papulacandin B 10,12-di-OCH2COCH3 derivative",1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0041,"Papulacandin B 10,12-di-OCH2COOH derivative",1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0042,"Papulacandin B 10,12-di-OCH2COOCH3 derivative",1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0043,Papulacandin B 10-OCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0020,Papulacandin B 10-OCH2COCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0022,Papulacandin B 10-OCH2COOH derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0023,Papulacandin B 10-OCH2COOCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0044,Papulacandin B 10-OCH2COOCH2CH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0024,Papulacandin B 10-OCH2COOCH2CH(OH)CH2OH derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0045,Papulacandin B 10-OCH2CONH2 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0046,Papulacandin B 10-OCH2CONHCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0047,Papulacandin B 10-OCH2CON(CH3)2 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0048,Papulacandin B 10-OCH2CO-thienyl derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0049,"Papulacandin B 11,13-dimorpholinomethylene derivative",1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0050,Papulacandin B 11-dimethylaminomethylene 12-OCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0025,Papulacandin B 11-CH2-morpholine 12-OCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0051,Papulacandin B 11-morpholinomethylene derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0052,Papulacandin B 11-piperidinomethylene derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0027,Papulacandin B 11-NH2 12-OCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0028,Papulacandin B 11-NHCOCH3 12-OCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0029,Papulacandin B 11-NHCOCH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0054,Papulacandin B 11-NHSO2CH3 derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0055,Papulacandin B 11-amino-imidazolidone derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0057,Papulacandin B 6-azido derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0013,Papulacandin B 6-Br derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0012,Papulacandin B 6-I derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0015,Papulacandin B 6-CH2-morpholine derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0058,Papulacandin B 6-N-methylpiperazinyl derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0059,Papulacandin B 6-N-formylpiperazinyl derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0060,Papulacandin B 6-N-methylthiotetrazolinyl derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0061,Papulacandin B 6-acetyl derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0062,Papulacandin B 6-succinyl derivative,1,proxy_papulacandin_weak,False,medium,1,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
papulacandin,PAPU-0063,"L-687,781",1,proxy_papulacandin_weak,False,medium,4,0,False,in_vivo_proxy,"in-vivo only; serum activity UNKNOWN for this class — a test candidate, not a training label"
echinocandin,EXT-FKS-0018,CILOFUNGIN,1,proxy_echinocandin,True,medium,1,0,False,in_vivo_proxy,in-vivo/clinical positive
