compound_id,canonical_name,synonyms,compound_class,source_type,parent_scaffold,smiles_raw,smiles_canonical,inchikey,stereochemistry_status,structure_confidence,sugar_identity,galactose_present,spiroketal_status,long_acyl_chain_type,long_acyl_chain_length,long_acyl_double_bonds,long_acyl_geometry,short_acyl_chain_type,modification_site,modification_summary,mw_exact,clogp,tpsa,hbd,hba,rotb,fsp3,formal_charge,reference_id,source_table_or_figure,curation_status,notes
PAPU-0011,Papulacandin B degradation product III,,papulacandin_derivative,semisynthetic,simplified,,OC[C@H]1O[C@]2(OCc3cc(O)cc(O)c32)[C@H](O)[C@@H](O)[C@@H]1O,XZPQZORCRBPIHX-ZMHPAJMFSA-N,complete,medium,glucose,FALSE,intact,absent,,,,absent,multiple,both fatty acid residues and galactose removed,300.0845,-1.7454,139.8400,6,8,1,0.5385,0,PAPER-1983-ROMMELE,Fig. 3 and Table 1 compound 10,curated,"Paper compound 10. Additional removal of galactose from deacylated core remains inactive. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0012,Papulacandin B 6-I derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CI)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,GDGZDEFCKSCEIR-RBFGFFHTSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,iodine substitution at glucose position 6,1010.3161,4.2550,251.3600,8,16,21,0.5319,0,PAPER-1983-ROMMELE,Table 2 compound 11,curated,"Paper compound 11. Structure listed as 6-I in Table 2. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0013,Papulacandin B 6-Br derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CBr)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,FWAXBYZRMJDNCL-RBFGFFHTSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,bromine substitution at glucose position 6,962.3299,4.2149,251.3600,8,16,21,0.5319,0,PAPER-1983-ROMMELE,Table 2 compound 12,curated,"Paper compound 12. Structure listed as 6-Br in Table 2. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0014,Papulacandin B 6-OCH2COCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](COCC(C)=O)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,YHZMDVDWALVVMI-FLNJSBIXSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-OCH2COCH3 substitution,956.4406,3.4256,277.6600,8,18,24,0.5400,0,PAPER-1983-ROMMELE,Table 2 compound 13,curated,"Paper compound 13. Structure text preserved as 6-OCH2COCH3. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0015,Papulacandin B 6-CH2-morpholine derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CN2CCOCC2)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,XKQKSUVHGXECGY-SXLHURSSSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-CH2N morpholine-like substitution,969.4722,3.1522,263.8300,8,18,22,0.5686,0,PAPER-1983-ROMMELE,Table 2 compound 14,curated,"Paper compound 14. Heterocycle assigned from Table 2 drawing; verify during manual structure transcription. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0016,Papulacandin B 12-OCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OC)cc(O)c32)[C@@H]1O,ZFFXIAGCFQEZSU-HGPFSZJQSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-OCH3 aromatic substitution,914.4300,3.1153,260.5900,8,17,22,0.5417,0,PAPER-1983-ROMMELE,Table 2 compound 15,curated,"Paper compound 15. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0017,"Papulacandin B 10,12-OCH3 derivative",,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OC)cc(OC)c32)[C@@H]1O,MQRVIFKDWSZOOM-NVYAVNKESA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-dimethoxy aromatic substitution",928.4457,3.4183,249.5900,7,17,23,0.5510,0,PAPER-1983-ROMMELE,Table 2 compound 16,curated,"Paper compound 16. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0018,Papulacandin B 12-OCH2CH2CH3 derivative,NO.3 compound 17; NO.4 compound 5c,papulacandin_derivative,semisynthetic,PapB,,CCCOc1cc(O)c2c(c1)CO[C@]21O[C@H](CO)[C@@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@H]1O,WSTOWJNDKNDJHH-MVBLMUIFSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-propyl ether aromatic substitution,942.4613,3.8955,260.5900,8,17,24,0.5600,0,PAPER-1983-ROMMELE;PAPER-1987-TRAXLER,Rommele 1983 Table 2 compound 17; Traxler 1987 Table 1 compound 5c,curated,"Paper compound 17 in NO.3 and compound 5c in NO.4. Larger 12-O propyl-ether substituent reduces glucan ED50, Candida MIC, and in vivo performance. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0019,"Papulacandin B 10,12-di-OCH2CH2CH3 derivative",NO.3 compound 18; NO.4 compound 6c,papulacandin_derivative,semisynthetic,PapB,,CCCOc1cc2c(c(OCCC)c1)[C@]1(OC2)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@H]1O,UCNQKKYSPNEZRA-QTTKTPPMSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-di-propyl ether aromatic substitution",984.5083,4.9787,249.5900,7,17,27,0.5849,0,PAPER-1983-ROMMELE;PAPER-1987-TRAXLER,Rommele 1983 Table 2 compound 18; Traxler 1987 Table 1 compound 6c,curated,"Paper compound 18 in NO.3 and compound 6c in NO.4. Larger 10,12-di-O propyl-ether substituents abolish measurable activity in NO.3 and give poor NO.4 Candida MIC. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0020,Papulacandin B 10-OCH2COCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(C)=O)c32)[C@@H]1O,AOPMCMRZKMPABQ-FLNJSBIXSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2COCH3 aromatic substitution,956.4406,3.0745,277.6600,8,18,24,0.5400,0,PAPER-1983-ROMMELE,Table 2 compound 19,curated,"Paper compound 19. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0021,Papulacandin B 12-OCH2COOH derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCC(=O)O)cc(O)c32)[C@@H]1O,SJNYFLUFEXLODP-UYSSCJBSSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-OCH2COOH aromatic substitution,958.4198,2.5701,297.8900,9,18,24,0.5306,0,PAPER-1983-ROMMELE,Table 2 compound 20,curated,"Paper compound 20. Larger 12-O substituent reduces activity. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0022,Papulacandin B 10-OCH2COOH derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(=O)O)c32)[C@@H]1O,WWVZQSCTLNQKRT-UYSSCJBSSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2COOH aromatic substitution,958.4198,2.5701,297.8900,9,18,24,0.5306,0,PAPER-1983-ROMMELE,Table 2 compound 21,curated,"Paper compound 21. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0023,Papulacandin B 10-OCH2COOCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(=O)OC)c32)[C@@H]1O,HVKLWGOXQFRVMG-MVMZPCNYSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2COOCH3 aromatic substitution,972.4355,2.6585,286.8900,8,19,24,0.5400,0,PAPER-1983-ROMMELE,Table 2 compound 22,curated,"Paper compound 22. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0024,Papulacandin B 10-OCH2COOCH2CH(OH)CH2OH derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(=O)OCC(O)CO)c32)[C@@H]1O,VYWMZLVWHBEEGS-ATXGEDPPSA-N,partial,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2COOCH2CH(OH)CH2OH aromatic substitution,1032.4566,1.3819,327.3500,10,21,27,0.5577,0,PAPER-1983-ROMMELE,Table 2 compound 23,curated,"Paper compound 23. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0025,Papulacandin B 11-CH2-morpholine 12-OCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OC)c(CN4CCOCC4)c(O)c32)[C@@H]1O,NEEDCCDFBJHVCG-SYNBNOPVSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,11-CH2 morpholine-like substitution plus 12-OCH3,1013.4984,2.9475,273.0600,8,19,24,0.5849,0,PAPER-1983-ROMMELE,Table 2 compound 24,curated,"Paper compound 24. Heterocycle assigned from Table 2 drawing; verify during manual structure transcription. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0026,Papulacandin B 11-CH2-piperazine-like derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(CN4CCNCC4)c(O)c32)[C@@H]1O,LQNLJJGWRFZZQX-WRLNZLQUSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-CH2N heterocycle with NH shown in Table 2,998.4987,2.2175,286.8600,10,19,23,0.5769,0,PAPER-1983-ROMMELE,Table 2 compound 25,curated,"Paper compound 25. Heterocycle identity needs manual chemistry confirmation from drawing. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0027,Papulacandin B 11-NH2 12-OCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OC)c(N)c(O)c32)[C@@H]1O,QAMWILFLPYEDJM-VZMKDOLGSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,11-NH2 plus 12-OCH3 aromatic substitution,929.4409,2.6975,286.6100,9,18,22,0.5417,0,PAPER-1983-ROMMELE,Table 2 compound 26,curated,"Paper compound 26. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0028,Papulacandin B 11-NHCOCH3 12-OCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OC)c(NC(C)=O)c(O)c32)[C@@H]1O,ITXYXIAGCWSIOE-ZGXREZCFSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,11-NHCOCH3 plus 12-OCH3 aromatic substitution,971.4515,3.0737,289.6900,9,18,23,0.5400,0,PAPER-1983-ROMMELE,Table 2 compound 27,curated,"Paper compound 27. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0029,Papulacandin B 11-NHCOCH3 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(NC(C)=O)c(O)c32)[C@@H]1O,PFHQZKRPLVEIHU-ZSUYBHQXSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-NHCOCH3 aromatic substitution,957.4358,2.7707,300.6900,10,18,22,0.5306,0,PAPER-1983-ROMMELE,Table 2 compound 28,curated,"Paper compound 28. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0030,Papulacandin B 11-NHCOCH2NH2 derivative,,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(NC(=O)CN)c(O)c32)[C@@H]1O,ZLOPNWSHIFFZGB-QHMOAVQFSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-NHCOCH2NH2 aromatic substitution,972.4467,1.7095,326.7100,11,19,23,0.5306,0,PAPER-1983-ROMMELE,Table 2 compound 29,curated,"Paper compound 29. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
