route_id,compound_id,route_type,starting_material,number_of_steps,key_reaction,reported_yield_percent,protecting_group_burden,purification_difficulty,scalability,route_confidence,chemist_review_status,reference_id,route_file,notes
ROUTE-1996-MAGOME-001,PAPU-0070,fermentation_isolation,Trichothecium sp.,4,fermentation broth mycelia extraction with 70% aqueous acetone followed by ethyl acetate extraction and silica gel chromatography,,none,medium,6.5 L whole broth; 0.5 kg mycelia; 10.7 mg purified furanocandin,high,needs_review,PAPER-1996-MAGOME,,"Scheme 1 reports 70% acetone extraction, ethyl acetate extraction, brownish oil 205 mg, and silica gel chromatography to 10.7 mg furanocandin."
ROUTE-1996-OKADA-001,PAPU-0069,fermentation_isolation,Fusarium strain F29602 FERM P-12503,5,shake-flask fermentation followed by mycelial methanol extraction ethyl acetate extraction two silica gel chromatography steps and Sephadex LH-20 purification,,none,high,ca. 10 L culture broth yielded 16.0 mg pure BE-29602,high,needs_review,PAPER-1996-OKADA,,F29602 was isolated from soil in Saitama Prefecture and deposited as FERM P-12503; culture at 28 C for 72 h in 100 flasks yielded 16 mg purified white amorphous powder.
ROUTE-1996-YEUNG-001,PAPU-0071,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6a. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-002,PAPU-0072,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6b. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-003,PAPU-0073,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6c. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-004,PAPU-0074,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6d. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-005,PAPU-0075,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6e. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-006,PAPU-0076,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6f. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-007,PAPU-0077,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6g. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-008,PAPU-0078,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6h. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-009,PAPU-0079,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6i. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-010,PAPU-0080,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6j. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-011,PAPU-0081,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6k. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-012,PAPU-0082,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6l. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-013,PAPU-0083,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6m. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-014,PAPU-0084,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6n. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-015,PAPU-0085,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6o. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-016,PAPU-0086,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6p. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-017,PAPU-0087,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6q. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-018,PAPU-0088,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6r. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-019,PAPU-0089,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6s. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-020,PAPU-0090,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6t. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1996-YEUNG-021,PAPU-0091,semisynthetic,PAPU-0066,4,TES persilylation of Fusacandin A; DIBAL reductive C-6' deacylation; C-6' acylation with acid chloride/DMAP or acid/DCC/DMAP; HF deprotection,,high,medium,small_scale; analytical semisynthetic analog preparation,medium,needs_review,PAPER-1996-YEUNG,,"Route to final analog 6u. Paper reports persilylation 80%, DIBAL deacylation 70%, acylation 20-90%, and deprotection 50-80%; final compounds characterized by 1H NMR, HRMS, and reverse phase HPLC purity >90%."
ROUTE-1997-GUNAWARDANA-001,PAPU-0092,fermentation_isolation,Coryneum modonium AB2020T-223 NRRL 25349,5,"42-liter stirred-vessel fermentation followed by mycelial acetone/methanol extraction, hexane and dichloromethane trituration, and counter-current chromatography",,none,high,30 L fermentation; 0.3 g portion of active CH2Cl2 triturate yielded 3 mg corynecandin,high,needs_review,PAPER-1997-GUNAWARDANA,,Producing strain isolated from Tradescantia osarkana collected in Arkansas; fermentation at 25 C for 10 days. Total active CH2Cl2 triturate from extract was 2.7 g; only a 0.3 g portion was purified in the reported isolation step.
ROUTE-2001-HAMDOUCHI-001,PAPU-0093,total_synthesis,"propane-1,3-diol; hept-1-yne; protected spiroketal glycoside 4; triethyl phosphonocrotonate",multi-step,enantioselective pinanyl-9-BBN reduction to chiral building block 3; Pd-catalyzed cross-coupling; LAH alkyne reduction; TPAP oxidation; Horner-Emmons tetraenoate formation; Yamaguchi-type C3 esterification; TBAF deprotection,,high,high,chiral building block prepared on gram scale; final product isolated after TBAF deprotection in 41% yield,high,needs_review,PAPER-2001-HAMDOUCHI,,"Selected reported yields: TIPS monoether 67%, propargylic alcohol sequence 74%, ketone 71%, enantioselective reduction 75% and 97% ee, terminal alkyne 3 92%, Pd coupling 79%, diene diol 11 82% in text, pivaloylation/silylation/reduction 59% over three steps, TPAP oxidation 68%, Horner-Emmons product 16 74%, acid 17 91%, C3 ester 18 31%, final deprotection 41%. TASF caused elimination to pentaene 19; TBAF plus MeOH-MeCN-CH2Cl2 chromatography was successful."
ROUTE-2002-OHYAMA-001,PAPU-0094,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated as mixture with A2; mixture yield 150 mg,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated as mixture with A2; mixture yield 150 mg. A1/A2 were not separated as individual pure yields in the paper.
ROUTE-2002-OHYAMA-002,PAPU-0095,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated as mixture with A1; mixture yield 150 mg,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated as mixture with A1; mixture yield 150 mg. A1/A2 were not separated as individual pure yields in the paper.
ROUTE-2002-OHYAMA-003,PAPU-0096,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated 48 mg from 31 L broth,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated 48 mg from 31 L broth.
ROUTE-2002-OHYAMA-004,PAPU-0097,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated 6 mg from 31 L broth,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated 6 mg from 31 L broth.
ROUTE-2002-OHYAMA-005,PAPU-0098,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated 210 mg from 31 L broth,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated 210 mg from 31 L broth.
ROUTE-2002-OHYAMA-006,PAPU-0099,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated 20 mg from 31 L broth,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated 20 mg from 31 L broth.
ROUTE-2002-OHYAMA-007,PAPU-0100,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated 35 mg from 31 L broth,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated 35 mg from 31 L broth.
ROUTE-2002-OHYAMA-008,PAPU-0101,fermentation_isolation,Lophodermium sp. SANK 18496 (FERM BP-5620) grown in GPMY medium,not applicable,72 h fermentation; acetone extraction; pH 3 ethyl acetate extraction; Cosmosil C18 chromatography; preparative HPLC,,none,high,isolated 7 mg from 31 L broth,high,needs_review,PAPER-2002-OHYAMA,,Natural-product isolation from 31 L of 72-hour whole broth. isolated 7 mg from 31 L broth.
ROUTE-2012-VANDERKAADEN-001,PAPU-0102,total_synthesis,"3,5-dihydroxybenzoic acid; D-glucal derivative 15; commercial side-chain acid",multi-step,palladium-catalyzed glycal silanolate/aryl iodide cross-coupling; oxidative spiroketalization; Yamaguchi-type C3 esterification; global deprotection,,high,high,milligram final products; low final deprotection yields and preparative HPLC/lyophilization required,high,needs_review,PAPER-2012-VANDERKAADEN,,"Scheme 4 intermediate esterification yields: 40 89%, 41 quantitative, 42 92%, 43 90%; TBAHF deprotections: 44 25%, 45 85%, 46 86%, 47 39%. Final deprotection of 44 with Dowex 50 x 8 in dry MeOH gave 48 in 13% isolated yield after preparative HPLC and lyophilization."
ROUTE-2012-VANDERKAADEN-002,PAPU-0103,total_synthesis,"3,5-dihydroxybenzoic acid; D-glucal derivative 15; commercial side-chain acid",multi-step,palladium-catalyzed glycal silanolate/aryl iodide cross-coupling; oxidative spiroketalization; Yamaguchi-type C3 esterification; global deprotection,,high,high,milligram final products; low final deprotection yields and preparative HPLC/lyophilization required,high,needs_review,PAPER-2012-VANDERKAADEN,,"Scheme 4 intermediate esterification yields: 40 89%, 41 quantitative, 42 92%, 43 90%; TBAHF deprotections: 44 25%, 45 85%, 46 86%, 47 39%. Final deprotection of 45 with Sc(OTf)3 and 1,3-propanediol in acetonitrile gave 49 in 9% isolated yield after preparative HPLC and lyophilization."
ROUTE-2012-VANDERKAADEN-003,PAPU-0104,total_synthesis,"3,5-dihydroxybenzoic acid; D-glucal derivative 15; commercial side-chain acid",multi-step,palladium-catalyzed glycal silanolate/aryl iodide cross-coupling; oxidative spiroketalization; Yamaguchi-type C3 esterification; global deprotection,,high,high,milligram final products; low final deprotection yields and preparative HPLC/lyophilization required,high,needs_review,PAPER-2012-VANDERKAADEN,,"Scheme 4 intermediate esterification yields: 40 89%, 41 quantitative, 42 92%, 43 90%; TBAHF deprotections: 44 25%, 45 85%, 46 86%, 47 39%. Final deprotection of 46 with Dowex 50 x 8 in dry MeOH gave 50 in 43% isolated yield after preparative HPLC and lyophilization."
ROUTE-2012-VANDERKAADEN-004,PAPU-0105,total_synthesis,"3,5-dihydroxybenzoic acid; D-glucal derivative 15; commercial side-chain acid",multi-step,palladium-catalyzed glycal silanolate/aryl iodide cross-coupling; oxidative spiroketalization; Yamaguchi-type C3 esterification; global deprotection,,high,high,milligram final products; low final deprotection yields and preparative HPLC/lyophilization required,medium,needs_review,PAPER-2012-VANDERKAADEN,,"Scheme 4 intermediate esterification yields: 40 89%, 41 quantitative, 42 92%, 43 90%; TBAHF deprotections: 44 25%, 45 85%, 46 86%, 47 39%. Final deprotection of 47 with Dowex 50 x 8 in dry MeOH gave 51 in 7% isolated yield, but no clear NMR/MS spectra were obtained due degradation/aggregation."
ROUTE-2015-DESOUZA-001,PAPU-0106,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,early-stage,glycosylation of phenolic aldehyde with peracetylated glucosyl bromide 5 using LiOH in acetone,51,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 6 in 51% yield. Compound class/stage: peracetylated glucoside intermediate.
ROUTE-2015-DESOUZA-002,PAPU-0107,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,early-stage,glycosylation of phenolic aldehyde with peracetylated glucosyl bromide 5 using LiOH in acetone,61,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 7 in 61% yield. Compound class/stage: peracetylated glucoside intermediate.
ROUTE-2015-DESOUZA-003,PAPU-0108,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,early-stage,KOH/MeOH deacetylation of peracetylated glucoside,99,low,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 8 in 99% yield. Compound class/stage: deacetylated glucoside intermediate.
ROUTE-2015-DESOUZA-004,PAPU-0109,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,early-stage,KOH/MeOH deacetylation of peracetylated glucoside,100,low,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,medium,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 9 in 100% yield. Compound class/stage: deacetylated glucoside intermediate. Compound 9 was described as possible oligomer.
ROUTE-2015-DESOUZA-005,PAPU-0110,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"4,6-O-benzylidene acetal formation with benzaldehyde and ZnCl2",72,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 10 in 72% yield. Compound class/stage: benzylidene acetal intermediate.
ROUTE-2015-DESOUZA-006,PAPU-0111,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"4,6-O-benzylidene acetal formation with benzaldehyde and ZnCl2",60,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 11 in 60% yield. Compound class/stage: benzylidene acetal intermediate.
ROUTE-2015-DESOUZA-007,PAPU-0112,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"DCC/DMAP palmitoylation of benzylidene acetal followed by chromatographic separation of O-2, O-3, and O-2/O-3 acyl isomers",31,moderate,high,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 12 in 31% yield. Compound class/stage: protected mono-palmitoyl neoglycolipid intermediate.
