compound_id,canonical_name,compound_class,serum_tolerance_design_score,observed_serum_mic,synthesis_route_known,sar_exposure_positive_hits,modification_summary
PAPU-0135,Papulacandin G (Wu 2025),papulacandin_family_natural_product,-0.628,(no serum data),yes,0,new papulacandin-type spiroketal diglycoside lacking the galactose C-6' fatty-acid residue present in papulacandin F
PAPU-0128,Pestiorosin B,papulacandin_family_natural_product,-0.716,(no serum data),yes,0,non-spiro pestiocandin-like core with R1=B and R2=E; glucose-side chain lacks two double bonds relative to residue D
PAPU-0101,F-10748 D2,papulacandin_family_natural_product,-0.724,(no serum data),yes,0,F-10748 D2 member with chaetiacandin type papulacandin and R1=hexanoyl.
PAPU-0097,F-10748 B2,papulacandin_family_natural_product,-0.724,(no serum data),yes,0,F-10748 B2 member with chaetiacandin type papulacandin and R1=butyryl.
PAPU-0099,F-10748 C2,papulacandin_family_natural_product,-0.725,(no serum data),yes,0,F-10748 C2 member with chaetiacandin type papulacandin and R1=valeryl.
PAPU-0100,F-10748 D1,papulacandin_family_natural_product,-0.781,(no serum data),yes,0,F-10748 D1 member with papulacandin type and R1=hexanoyl.
PAPU-0096,F-10748 B1,papulacandin_family_natural_product,-0.782,(no serum data),yes,0,F-10748 B1 member with papulacandin type and R1=butyryl.
PAPU-0098,F-10748 C1,papulacandin_family_natural_product,-0.783,(no serum data),yes,0,F-10748 C1 member with papulacandin type and R1=valeryl.
PAPU-0009,Papulacandin B degradation product I,papulacandin_derivative,-0.784,(no serum data),no,0,short fatty acid removed from Papulacandin B
PAPU-0095,F-10748 A2,papulacandin_family_natural_product,-0.995,(no serum data),yes,0,F-10748 A2 member with chaetiacandin type papulacandin and R1=H.
PAPU-0094,F-10748 A1,papulacandin_family_natural_product,-1.053,(no serum data),yes,0,F-10748 A1 member with papulacandin type and R1=H.
PAPU-0006,Tetradecahydropapulacandin B,papulacandin_derivative,-1.159,(no serum data),no,0,hydrogenation of both fatty acid residues
PAPU-0093,Saricandin Papulacandin D analog 1,papulacandin_d_derivative,-1.592,(no serum data),yes,0,Papulacandin-D-like monoglycoside analog bearing Saricandin C-3 side chain but lacking galactose and the C6 prime short fatty acid
PAPU-0004,Papulacandin D,papulacandin,-1.681,(no serum data),yes,0,lacks galactose and short fatty acid relative to Papulacandin B
PAPU-0106,"4-formyl-2-methoxyphenyl 2,3,4,6-tetra-O-acetyl-beta-D-glucopyranoside 6",papulacandin_d_related_synthetic_intermediate,-1.759,(no serum data),yes,0,peracetylated glucoside intermediate; 4-formyl-2-methoxyphenyl aglycone; tetra-O-acetyl glucoside; none.
PAPU-0107,"3-formylphenyl 2,3,4,6-tetra-O-acetyl-beta-D-glucopyranoside 7",papulacandin_d_related_synthetic_intermediate,-1.859,(no serum data),yes,0,peracetylated glucoside intermediate; 3-formylphenyl aglycone; tetra-O-acetyl glucoside; none.
PAPU-0102,Papulacandin D sorbic acid mimic 48,papulacandin_d_derivative,-1.904,(no serum data),yes,0,Papulacandin-D-like monoglycoside with the native C3 side chain replaced by a short sorbic acid-derived acyl chain
PAPU-0105,Papulacandin D all-trans-retinoic acid mimic 51,papulacandin_d_derivative,-1.954,(no serum data),yes,0,Papulacandin-D-like monoglycoside with an all-trans-retinoic acid-derived C3 acyl side chain
PAPU-0110,"4-formyl-2-methoxyphenyl 4,6-O-benzylidene-beta-D-glucopyranoside 10",papulacandin_d_related_synthetic_intermediate,-1.967,(no serum data),yes,0,"benzylidene acetal intermediate; 4-formyl-2-methoxyphenyl aglycone; 4,6-O-benzylidene acetal; none."
PAPU-0111,"3-formylphenyl 4,6-O-benzylidene-beta-D-glucopyranoside 11",papulacandin_d_related_synthetic_intermediate,-2.031,(no serum data),yes,0,"benzylidene acetal intermediate; 3-formylphenyl aglycone; 4,6-O-benzylidene acetal; none."
PAPU-0114,"4-formyl-2-methoxyphenyl 2,3-di-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 14",papulacandin_d_related_synthetic_intermediate,-2.061,(no serum data),yes,0,"protected di-palmitoyl neoglycolipid intermediate; 4-formyl-2-methoxyphenyl aglycone; 2,3-di-O-palmitoyl; 4,6-O-benzylidene; two palmitoyl esters at glucose O-2 and O-3."
PAPU-0117,"3-formylphenyl 2,3-di-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 17",papulacandin_d_related_synthetic_intermediate,-2.254,(no serum data),yes,0,"protected di-palmitoyl neoglycolipid intermediate; 3-formylphenyl aglycone; 2,3-di-O-palmitoyl; 4,6-O-benzylidene; two palmitoyl esters at glucose O-2 and O-3."
PAPU-0010,Papulacandin B degradation product II,papulacandin_derivative,-2.335,(no serum data),no,0,both fatty acid residues removed from Papulacandin B
PAPU-0112,"4-formyl-2-methoxyphenyl 3-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 12",papulacandin_d_related_synthetic_intermediate,-2.382,(no serum data),yes,0,"protected mono-palmitoyl neoglycolipid intermediate; 4-formyl-2-methoxyphenyl aglycone; 3-O-palmitoyl; 4,6-O-benzylidene; palmitoyl ester at glucose O-3."
PAPU-0113,"4-formyl-2-methoxyphenyl 2-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 13",papulacandin_d_related_synthetic_intermediate,-2.382,(no serum data),yes,0,"protected mono-palmitoyl neoglycolipid intermediate; 4-formyl-2-methoxyphenyl aglycone; 2-O-palmitoyl; 4,6-O-benzylidene; palmitoyl ester at glucose O-2."
PAPU-0115,"3-formylphenyl 3-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 15",papulacandin_d_related_synthetic_intermediate,-2.55,(no serum data),yes,0,"protected mono-palmitoyl neoglycolipid intermediate; 3-formylphenyl aglycone; 3-O-palmitoyl; 4,6-O-benzylidene; palmitoyl ester at glucose O-3."
PAPU-0116,"3-formylphenyl 2-O-palmitoyl-4,6-O-benzylidene-beta-D-glucopyranoside 16",papulacandin_d_related_synthetic_intermediate,-2.55,(no serum data),yes,0,"protected mono-palmitoyl neoglycolipid intermediate; 3-formylphenyl aglycone; 2-O-palmitoyl; 4,6-O-benzylidene; palmitoyl ester at glucose O-2."
PAPU-0104,Papulacandin D linoleic acid mimic 50,papulacandin_d_derivative,-2.557,(no serum data),yes,0,Papulacandin-D-like monoglycoside with a C18 linoleoyl C3 acyl side chain containing two cis double bonds
PAPU-0120,"4-formyl-2-methoxyphenyl 2,3-di-O-palmitoyl-beta-D-glucopyranoside 20",papulacandin_d_related_neoglycolipid,-2.654,(no serum data),yes,0,"papulacandin D related neoglycolipid final analogue; 4-formyl-2-methoxyphenyl aglycone; 2,3-di-O-palmitoyl; deprotected; two palmitoyl esters at glucose O-2 and O-3."
PAPU-0108,4-formyl-2-methoxyphenyl beta-D-glucopyranoside 8,papulacandin_d_related_synthetic_intermediate,-2.721,(no serum data),yes,0,deacetylated glucoside intermediate; 4-formyl-2-methoxyphenyl aglycone; free glucoside; none.
PAPU-0109,3-formylphenyl beta-D-glucopyranoside 9,papulacandin_d_related_synthetic_intermediate,-2.747,(no serum data),yes,0,deacetylated glucoside intermediate; 3-formylphenyl aglycone; free glucoside; possible oligomer; none.
PAPU-0123,"3-formylphenyl 2,3-di-O-palmitoyl-beta-D-glucopyranoside 23",papulacandin_d_related_neoglycolipid,-2.853,(no serum data),yes,0,"papulacandin D related neoglycolipid final analogue; 3-formylphenyl aglycone; 2,3-di-O-palmitoyl; deprotected; two palmitoyl esters at glucose O-2 and O-3."
PAPU-0011,Papulacandin B degradation product III,papulacandin_derivative,-2.89,(no serum data),no,0,both fatty acid residues and galactose removed
PAPU-0007,Octahydropapulacandin D,papulacandin_d_derivative,-2.967,(no serum data),no,0,hydrogenation of Papulacandin D fatty acid residue
PAPU-0118,4-formyl-2-methoxyphenyl 3-O-palmitoyl-beta-D-glucopyranoside 18,papulacandin_d_related_neoglycolipid,-3.099,(no serum data),yes,0,papulacandin D related neoglycolipid final analogue; 4-formyl-2-methoxyphenyl aglycone; 3-O-palmitoyl; deprotected; palmitoyl ester at glucose O-3.
PAPU-0119,4-formyl-2-methoxyphenyl 2-O-palmitoyl-beta-D-glucopyranoside 19,papulacandin_d_related_neoglycolipid,-3.099,(no serum data),yes,0,papulacandin D related neoglycolipid final analogue; 4-formyl-2-methoxyphenyl aglycone; 2-O-palmitoyl; deprotected; palmitoyl ester at glucose O-2.
PAPU-0103,Papulacandin D palmitic acid mimic 49,papulacandin_d_derivative,-3.201,(no serum data),yes,0,Papulacandin-D-like monoglycoside with a saturated C16 palmitoyl C3 acyl side chain
PAPU-0121,3-formylphenyl 3-O-palmitoyl-beta-D-glucopyranoside 21,papulacandin_d_related_neoglycolipid,-3.273,(no serum data),yes,0,papulacandin D related neoglycolipid final analogue; 3-formylphenyl aglycone; 3-O-palmitoyl; deprotected; palmitoyl ester at glucose O-3.
PAPU-0122,3-formylphenyl 2-O-palmitoyl-beta-D-glucopyranoside 22,papulacandin_d_related_neoglycolipid,-3.273,(no serum data),yes,0,papulacandin D related neoglycolipid final analogue; 3-formylphenyl aglycone; 2-O-palmitoyl; deprotected; palmitoyl ester at glucose O-2.
PAPU-0005,Papulacandin E,papulacandin,,(no serum data),no,0,minor natural component; structure formula and MW not reported
